Province,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Chūbu,Gifu,Aeon Kakamigahara & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Chūbu,Nagoya,109 Cinemas Nagoya & IMAX,1.90:1,IMAX CoLa,1.90:1,No,56 ft 1.23 in,28 ft 10.46 in,Yes
Chūbu,Shizuoka Prefecture,Cinema Sunshine Lalaport Numazu & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Hokkaido,Hokkaido,United Cinemas Sapporo Factory & IMAX,1.90:1,IMAX CoLa,1.90:1,No,81 ft 8.31 in,45 ft 7.24 in,Yes
Okinawa,Okinawa,United Cinemas Parco City Urasoe & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Kansai,Nara Prefecture,IMAX Cinema Sunshine Yamatokoriyama,1.90:1,IMAX CoLa,1.90:1,No,60 ft 0.47 in,31 ft 5.95 in,Yes
Kansai,Osaka,AEON Shijonawate & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Kantō,Chiba,AEON Ichikawa Myoden & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Kantō,Chiba,TOHO Nagareyama-Takanomori & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Kantō,Chiba,Aeon Makuhari Shin-toshin & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Kantō,Chiyodaku,TOHO Cinemas Hibiya & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Kantō,Fujisawa City,109 Cinemas Shonan & IMAX,1.90:1,IMAX CoLa,1.90:1,No,67 ft 7.02 in,37 ft 8.76 in,Yes
Kantō,Kawasaki,109 Cinemas Kawasaki & IMAX,1.90:1,IMAX CoLa,1.90:1,No,57 ft 1.04 in,29 ft 6.33 in,Yes
Kantō,Kiba,109 Cinemas Kiba & IMAX,1.90:1,IMAX CoLa,1.90:1,No,59 ft 0.66 in,29 ft 10.27 in,Yes
Kantō,Matsudo,United Cinemas Matsudo & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Kantō,Nerima-ku,United Cinemas Toshimaen & IMAX,1.90:1,IMAX CoLa,1.90:1,No,62 ft 4.03 in,31 ft 2.02 in,Yes
Kantō,Saitama,109 Cinemas Shobu & IMAX,1.90:1,IMAX CoLa,1.90:1,No,60 ft 4.41 in,32 ft 1.83 in,Yes
Kantō,Tokyo,109 Cinemas Futako Tamagawa & IMAX,1.90:1,IMAX CoLa,1.90:1,No,60 ft 8.35 in,32 ft 5.76 in,Yes
Kantō,Tokyo,109 Cinemas Grandberry Mall & IMAX,1.90:1,IMAX CoLa,1.90:1,No,55 ft 1.42 in,28 ft 2.58 in,Yes
Kantō,Tokyo,Aeon Chofu & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Kantō,Tokyo,Toho Cinemas Shinjyuku & IMAX,1.90:1,IMAX CoLa,1.90:1,No,63 ft 11.72 in,35 ft 9.13 in,Yes
Kantō,Tsuchiura-shi,Cinema Sunshine Tsuchiura & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,54 ft 9.48 in,30 ft 2.2 in,Yes
Kantō,Urawa,United Cinemas Urawa & IMAX,1.90:1,IMAX CoLa,1.90:1,No,59 ft 8.54 in,30 ft 2.2 in,Yes
Kyushu,Fukuoka,Aeon Fukuoka & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Kyushu,Hakata-ku,United Cinemas Canal City 13 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,49 ft 6.49 in,27 ft 6.71 in,Yes
Chūgoku,Okayama,Aeon Okayama & IMAX,,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Kansai,Osaka,109 Cinemas Osaka Expocity & IMAX,1.43:1,IMAX GT Laser,1.43:1,No,85 ft 3.62 in,59 ft 0.66 in,Yes
Kantō,Tokyo,Grand Cinema Sunshine & IMAX,1.43:1,IMAX GT Laser,1.43:1,No,84 ft 7.75 in,62 ft 0.09 in,Yes
Kyushu,Kagoshima,"Space Theatre, Municipal Science Hall",Dome 1.43:1,,,IMAX GT Dome 15/70 mm,67 ft 3.09 in,0 ft 0.0 in,Unk
